words,sentiment_coeff
alllivesmatter,1.0548129096757086
look_like,1.1307508195068914
attendant,-1.140102821613351
realdonaldtrump,1.096741155710223
graduate,1.0798650595378538
but,1.2716395924204273
deranged,1.1701609981639827
ignorant,1.1122570317575586
incompetent,1.0983137349733516
r,1.0287353073859358
secretsbedard_thezogbypoll,-1.1048555385771512
country,1.1587823894226135
want,1.15324885707554
law_order,1.0471839288044102
democrat,1.1242421732085177
playing,1.102837924426331
dangerous,1.1296022359125504
guy,1.1622814214462736
cut,1.1211603802102248
london_today,1.187612840904776
thing,1.2508941325799423
internet,1.0827991006585729
http_/,-1.0526032405112482
hrenee80,1.2653475925619393
absolutely,1.0938675971501728
resist,-1.004261426442577
test,1.0515790562828833
na,-1.160311966088557
est,-1.2312732738272956
vo,-1.0495195826811372
thank,1.0868925215731846
everyone,1.1971970633175033
supported,1.1603207270768219
calling,1.1157426093499043
racism,1.0668832171116496
today,1.1073707011744842
never,1.1866964156362507
sorry,1.1589734989841463
born,1.1323497972170495
pledge,1.2090236251397672
green,1.1349016621813195
blue,1.119339310064415
red,0.9937717854926986
el,-1.3191920734612566
de_los,-1.540055687796902
la_casa,-1.6309980097711687
blanca,-1.6969644889194777
maduro,-1.2295696310697906
de_la,-1.4163411342049725
violencia,-1.588469915480113
en_la,-1.545040400441139
protestas,-1.5873736575126567
por_la,-1.5527171057268692
george,1.0346029144031392
work,1.186682546239372
america,1.0756924352158994
people,1.2525420608039615
funded,1.0941883958254524
committed,1.2380631162844642
race,1.1144936246305823
first,1.172810196985626
female,1.0728686672183507
president,1.113551088960253
would,1.2216462457043555
get,1.1439505222864488
u,1.11378278847545
back,1.1946665682640623
voteblue,1.075088505792568
not,1.2496505528923831
following,1.096186850078358
twitter,-0.9816826482428588
really,1.2188768972001047
gojoe,1.0470372000075345
senatorcollins,1.201129353338237
allowed,1.146710435899851
feed,1.1299121894426203
american,1.1624505403048224
month,1.062712159586864
away,1.1318880247404468
every_single,1.0623635445888473
need,1.1432017181549254
retweet,1.014847951941848
spread_word,1.1909312269769239
must,1.2139359033345043
increase,1.0953817064011515
voter,1.1257735009162562
love,1.1120862579742077
bringing,1.1728096400642778
together,1.1061094403502798
covid19,-0.9947714341766503
blacklivesmatter,0.997705655358815
georgefloydprotests,-0.9920697935703628
black,1.0988147222925455
officer,1.1603401223994754
wa,1.182490231704478
against,1.1185977481180451
stopping,1.0976474378589742
fellow,1.1965990173283774
equality,1.093387137903837
begin,1.043405863397504
believe,1.1528295682463034
equal,1.1198834520982615
scene,1.1162510029993171
city,1.1514667063779502
near,1.0558769622790893
power,1.1262405617197642
baby,1.0353686662825303
killing,1.1110217533663123
died,1.0777013461297122
due,1.0543426281299118
excessive,1.1857005545688213
force,1.0982986659957465
/,-0.9934296193497614
police_brutality,1.16061548646616
social_medium,1.0756219731797017
follower,1.068147658718792
friend,1.1429004620078338
name,1.118072078985857
mother,1.0273761986248118
criminal,1.0731527682060544
cop,1.120946999145522
shot,1.1026865643357666
dead,1.0678193971336596
line,1.1479739919093663
meet,1.14322757617069
expected,1.1817604010793261
black_life,1.0266505596348858
matter,1.034455262110528
stand,1.1037621718700086
movement,1.1217991658728028
based,1.164308916724114
lie,1.0443149308685165
hatred,1.1499377573499439
police,1.0854032247348573
stay,1.2111136927763302
help,1.0836788177140626
trend,1.0443437904276804
situation,1.0343999363714076
yemen,1.0843983376670363
find,1.2370435275717824
worthy,1.1951361994201088
cause,1.073816539558781
pl,-1.054044921068735
easy,1.1251204722166264
say,1.2161258389445853
racist,1.1253945073693037
anti_racist,1.1707901573759003
fact,1.1586726179320401
person,1.1670527329625822
truth,1.0794717730364227
spread,1.0164014333132418
wakeupamerica,-1.0514231970211403
trump2020,1.0537958190720425
votered,1.0398086555510286
http_//t,-1.0807420379904673
70,1.078205634028703
right,1.14084966139348
certainly,1.1378420332307442
use,1.1404244510423496
blocked,1.0874589446115956
along,1.0684787211796445
bot,1.0349469327844987
troll,1.0715299309353563
avoid,1.1065104535163883
chaos,1.0377509938627127
hat,1.0258179185396328
exposebillgates_greatawakening,-1.3661973616072265
wwg1gwa_riot,-1.364539676895645
seattleprotests_portlandprotest,-1.345372923105996
seattleautonomouszone_gaming,-1.3495944296680487
joebidenisaracist,1.0262292488998876
joe,1.1165768511236587
pro,1.0318849373229868
churchill_statue,1.2382838280125255
london,1.102771872212962
case,1.1469191459568406
support,1.132179655019772
hate,1.1125279016877434
wrote,1.1121925327343825
crime_bill,1.147665286568342
put,1.1387783750669394
prison,1.1067382794642875
law,1.1589399011096637
statue,1.0611102196434492
history,1.1189776967731833
culture,1.1664837629701843
premierleague,1.161141688434874
kicked,1.1281128951459687
storm,1.2611495881355297
club,1.0260353926665948
shirt,1.019615503426785
every,1.218908916068483
team,1.1094608506047556
ha,1.0895053449601886
promote,1.1215784745686292
blm,1.019253649054809
saturday,1.0716772184302183
quick,1.122431162756686
poll,1.0691804340228583
fast,1.1391108717229732
amp,1.1192989212489453
voting,1.1129700615761298
trump,-1.0036439141811069
2020_election,1.0677617848879888
vote,1.0641081473786562
reach,1.1750246301306484
far_right,1.1651271407375523
john,1.0037460159952407
director,1.1061020328483766
national,1.0735319907878256
holy_shit,1.0873497219573511
watch,1.060501143323595
votebluetosaveamerica_votebluetoendthisnightmare,-1.103807989028696
oh,1.0488808318622125
mean,1.0527216858568111
said,1.1894034101968778
start,1.1543647962521595
something,1.1814076914993108
talk,1.1287335282505435
making,1.1152544221365477
face,1.078621810754159
da,-1.2269348474878943
whole,1.1506952982147742
song,1.053172013001068
l,-1.0828019728580964
prot,1.0833555031177202
primary,1.0159019359024648
june,1.0718594306963805
30,1.0291410857774992
votebluetosaveamerica,1.08588037068247
voteoutthegop,-1.1295109167710549
group,1.1457898355386482
behind,1.1538943841627396
effort,1.2320904444519154
change,1.1409781417559473
received,1.1843150735332548
wave,1.1442582393476657
joebiden,1.059967198434668
black_community,1.1338393406851608
need_stand,1.1224076740056128
see,1.1904124303649102
historical,1.156869014313458
turnout,1.1106733172439713
bla,1.0348488582491744
including,1.222636899867227
invoke,1.1557375568716053
current,1.13948404711546
georgefloyd,-1.0708259797417778
win,1.0966402648841784
slave,1.184269131678278
full,1.134838274010024
berniesanders,1.0190622113267744
speaking,1.1597484859826703
shown,1.0507785668175815
joe_biden,1.0353298466834644
qu,-1.1878135256895042
mayoroflondon,1.1778898539272975
colour,1.1162532738119144
state,1.1220378050672966
right_wing,1.1245012802606014
extremist,1.0990643491391145
aka,1.0556165826443242
notmypresident,-1.0114457849334966
barackobama,-1.030104353012472
way,1.2195367476774603
hooligan,1.0389919605520948
medium,1.124734894648865
labour,1.1230960238627656
cw_group,-1.253388566509354
1500,-1.1728022319610096
square,1.0385594992114984
nycprotests_georgefloydprotests,-1.178824431590321
blacklivesmatternyc_nycscannerduty,-1.3986058439605609
bought,1.1349734636185058
coffee,-1.0223235145940195
ko,-1.2225167488479993
fi,0.9956707511736322
doe,1.1542452570342918
good,1.1650328424134946
z,-1.135084254122244
b,1.0995579208017012
se,-1.3662050508088837
smith,1.0879579154779047
no,0.9980128526635137
co,1.0154472201403708
je,-1.3546753065702963
ok,1.0758858485120448
dress,1.302836559475027
disgusting,1.0937785555115282
video,1.0012200358548273
white_woman,1.1495695107169084
black_men,1.1196240918970513
foot,1.0766661403319229
white,1.1408740699531057
living,1.1859281669894526
texas,1.0434042517054316
traffic,1.1681092003363525
mile,-1.0228157967353715
east,1.0934856652560858
witnessing,1.1262734414169129
protest,1.1035157960087976
yet,1.2373759763603454
response,1.1238474892682422
man,1.1022874381174634
terrorist,1.0478173524894905
marxist,1.1290634392001746
organisation,1.0262492604549127
politics,1.070413133297352
place,1.1192259910687277
feeling,1.2206030203635425
pretty,1.1269173652280429
dave,1.1201649864523668
tell,1.1256975902216646
everything,1.205312827511909
know,1.2494665153652442
another,1.139745339679545
owned,1.0953482476644474
looted,1.1646895752410404
road,1.0593080072263648
blackl,1.0805446403079675
no_longer,1.099326422057077
call,1.1299605497865424
anti,1.0017561629487424
planned,1.0802670135769445
psychopath,1.1104133491850805
gate,-0.9995525956273222
et,-1.242107987122203
al,-1.141169064043907
vaccine,1.0518191313680074
